machine_degree,york_acc_mps2,jaw_acc_mps2
0,30,20
1,31.6834,22.7874
2,32.9428,25.542
3,34.1368,28.2266
4,35.3614,31.1339
5,36.3227,33.7459
6,37.0817,36.2841
7,37.7603,38.8897
8,38.3657,41.0088
9,38.8683,43.1239
10,39.2611,45.4942
11,39.5085,47.4843
12,39.6022,49.123
13,39.6057,50.3133
14,39.5668,51.4761
15,39.4697,52.5896
16,39.2337,53.4156
17,38.858,54.0176
18,38.3568,54.4324
19,37.7432,54.7016
20,37.0063,54.7301
21,36.1714,54.4891
22,35.2673,54.0574
23,34.2891,53.4767
24,33.1405,52.5899
25,31.6629,51.3632
26,30.2248,50.1966
27,28.9874,48.9115
28,27.5707,47.4697
29,25.9479,45.9326
30,24.189,44.2465
31,22.3586,42.3226
32,20.5767,40.0296
33,18.8102,37.9271
34,17.0197,35.9329
35,15.1303,33.7338
36,13.0238,31.7419
37,10.0718,27.4393
38,7.56428,25.2602
39,5.41881,22.8775
40,3.36166,20.5458
41,1.3469,18.1476
42,-0.666157,15.1122
43,-2.7453,12.9758
44,-4.92078,10.6103
45,-7.20795,7.9207
46,-9.36572,5.4611
47,-11.277,2.9237
48,-13.3219,0.3723
49,-15.6471,-1.9542
50,-17.6415,-4.0999
51,-19.4316,-6.4321
52,-21.1516,-8.7757
53,-22.8218,-11.0128
54,-24.7823,-13.1827
55,-26.9452,-15.1824
56,-28.4792,-17.015
57,-29.7738,-18.965
58,-31.0389,-20.9794
59,-32.2885,-22.7518
60,-33.5096,-24.377
61,-34.6626,-25.9414
62,-35.7379,-27.4674
63,-36.6877,-28.7989
64,-37.4525,-29.916
65,-38.0482,-30.8932
66,-38.5332,-31.7599
67,-38.9501,-32.5573
68,-39.2832,-33.2837
69,-39.4611,-33.8447
70,-39.4556,-34.1708
71,-39.2876,-34.3734
72,-39.0297,-34.4541
73,-38.7029,-34.36
74,-38.2621,-34.1046
75,-37.5982,-33.6771
76,-36.6562,-33.0822
77,-35.5529,-32.3249
78,-34.41,-31.397
